测试类型,标准问题,测试问题,关键词,关键词命中率,数字匹配率,准确,响应时间
标准问题,我是南京医保，可以给省内医保的家人/外地医保的家人参保吗,我是南京医保，可以给省内医保的家人/外地医保的家人参保吗,"南京医保,家人参保,外地医保",40%,100%,是,5081ms
标准问题,这款产品会停售吗？,这款产品会停售吗？,"停售,停止销售,下架",20%,100%,是,7626ms
标准问题,已经划扣，需要取消，如何操作退费?,已经划扣，需要取消，如何操作退费?,"退保,取消保险,退款",33%,100%,是,3066ms
标准问题,哪些人群可以参加南京宁惠保？,哪些人群可以参加南京宁惠保？,"参保对象,近亲属,断保用户",0%,100%,否,3217ms
标准问题,怎么查询或下载发票？,怎么查询或下载发票？,"发票,电子发票,下载发票",40%,100%,否,3144ms
标准问题,填写的身份信息会被泄露吗？,填写的身份信息会被泄露吗？,"信息泄露,隐私保护,身份信息",40%,100%,是,3086ms
标准问题,宁惠保的赔付标准是什么？,宁惠保的赔付标准是什么？,"宁惠保,赔付标准,报销比例",17%,100%,是,3263ms
标准问题,开通了自动续保后会从哪些渠道划扣?,开通了自动续保后会从哪些渠道划扣?,"自动续保,划扣渠道,支付方式",40%,100%,是,4109ms
标准问题,省外医保人员是否可以参保南京宁惠保？,省外医保人员是否可以参保南京宁惠保？,"省外医保,参保条件,居住证明",60%,100%,否,3596ms
标准问题,投保后，为什么一直显示出单中？,投保后，为什么一直显示出单中？,"出单中,状态,审核",60%,100%,是,3022ms
标准问题,什么是等待期,什么是等待期,"等待期,观察期,免责期",17%,100%,是,3193ms
标准问题,外籍人士可以投保这款产品吗？,外籍人士可以投保这款产品吗？,"外籍人士,投保资格,外国人参保",100%,100%,否,2963ms
标准问题,什么是免赔额？免赔额是多少？,什么是免赔额？免赔额是多少？,"免赔额金额,免赔额数额,自付额度",100%,100%,是,8745ms
标准问题,退休后，可以投保本产品吗？,退休后，可以投保本产品吗？,"退休,投保,购买",40%,100%,否,2675ms
